,request_id,request_date,request,desc,address,zip_code,hauler,route,district,lon,lat
132,27023,2017-11-08,Trash - Curbside/Alley Missed Pickup,missed. other homes were also missed on this street,103 savoy cir,37205,RED RIVER,2304S,24,-86.82397736795362,36.12898994694359
143,27229,2017-11-09,Trash - Curbside/Alley Missed Pickup,trash missed past 2 weeks,415 35th ave n,37209,WASTE IND,3306,21,-86.82685065833704,36.15407592984187
146,27244,2017-11-09,Trash - Curbside/Alley Missed Pickup,missed pickup,552 judd dr,37218,RED RIVER,3203,1,-86.84730324756966,36.22306004138645
148,27300,2017-11-09,Trash - Curbside/Alley Missed Pickup,missed.,2019 beech ave b,37204,METRO,9401,17,-86.78083777535817,36.13243430205707
160,27538,2017-11-13,Trash - Curbside/Alley Missed Pickup,missed.,908 kalvesta ct,37013,RED RIVER,3502,33,-86.59986316662854,36.07746622806495
167,27687,2017-11-13,Trash - Backdoor,"customer says backdoor pickup was missed the past 2 weeks
said he had talked with kimberly and confirmed paid in full",1144 sewanee rd,37220,RED RIVER,3302,34,-86.80155227320982,36.0866309854553
173,27740,2017-11-13,Trash - Curbside/Alley Missed Pickup,missed pickup,337 vailview dr,37207,RED RIVER,2202,3,-86.76424077560851,36.24018504558845
175,27760,2017-11-13,Trash - Curbside/Alley Missed Pickup,missed pickup again for the entire street,2731 murfreesboro pike,37013,RED RIVER,4502,32,-86.6339628294397,36.06912193712132
181,27844,2017-11-14,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,5312 bell crest dr,37013,RED RIVER,4502,32,-86.63569977759957,36.06325594110786
185,27960,2017-11-14,Trash - Curbside/Alley Missed Pickup,missed trash for past 2 weeks,2416 brasher ave,37206,METRO,9503,5,-86.74818019114221,36.1959607040083
189,28059,2017-11-15,Trash - Curbside/Alley Missed Pickup,missed - resident is  curious why ?,1223 n 6th st,37207,METRO,9203,5,-86.76032826412303,36.193815722977966
190,28070,2017-11-15,Trash - Curbside/Alley Missed Pickup,"the whole cul-de-sac curb missed for tuesday, even talked to driver he said to caller he would be back and did not. cul de sac missed.",3793 hilltop ave,37216,RED RIVER,2205,8,-86.73558554602523,36.2166157536232
193,28156,2017-11-15,Trash - Curbside/Alley Missed Pickup,missed- trash/carts curbside {tuesday},1209 4th ave n,37208,WASTE IND,3208,19,-86.78730951777641,36.17614839999919
199,28246,2017-11-15,Trash - Curbside/Alley Missed Pickup,missed trash pick up,3210 whites creek pike,37207,RED RIVER,3201,3,-86.82075005147804,36.23137438427676
200,28248,2017-11-15,Trash - Curbside/Alley Missed Pickup,missed trash for past 2 weeks,2416 brasher ave,37206,METRO,9503,5,-86.74818019114221,36.1959607040083
204,28371,2017-11-16,Trash - Backdoor,backdoor miss wednesday. trash,2611 sterling boone dr,37210,RED RIVER,4301,16,-86.73903000000003,36.11585999999996
205,28377,2017-11-16,Trash - Curbside/Alley Missed Pickup,curb address has been missed please pick up.,468 elysian fields rd,37211,RED RIVER,4302,26,-86.73472119732962,36.08444709726565
206,28381,2017-11-16,Trash - Curbside/Alley Missed Pickup,trash cart empty,1307 hildreth dr,37215,RED RIVER,3303,34,-86.81239285838775,36.08158187076038
208,28400,2017-11-16,Trash - Backdoor,"paid backdoor/trash missed, wednesday. behind red wood fence that is not locked. {neighbors trash/cart sit's by there driveway, because it's by the property line, so make sure the truck knows to pickup by red wood fence. call if any questions",1111 lipscomb dr,37204,RED RIVER,3302,25,-86.79725843993529,36.09125705342588
210,28426,2017-11-16,Trash - Backdoor,trash backdoor missed.,502 georgetown dr,37205,RED RIVER,1305,23,-86.88210957305493,36.12011110698295
212,28467,2017-11-16,Trash - Backdoor,"backdoor/trash keeps getting missed, wednesday's. customer wants to know why?",1421 jones ave,37207,METRO,9203,5,-86.75854427702177,36.19855073769203
218,28542,2017-11-16,Trash - Backdoor,"said never gets picked up - said trash building up & overflowing for weeks - previous tickets closed out & not picked up. back door waiver is current 8/1/2019
please note if something is not compliant",15482 old hickory blvd,37211,RED RIVER,4402,27,-86.73492159343964,36.0397035361965
219,28550,2017-11-16,Trash - Backdoor,only emptied one of her carts,2621 jones view dr,37207,RED RIVER,2201,8,-86.75788000000003,36.21578999999993
223,28578,2017-11-16,Trash - Curbside/Alley Missed Pickup,missed trash pickup,4014 indiana ave,37209,RED RIVER,1309,21,-86.83535805297952,36.15731888472372
226,28616,2017-11-17,Trash - Curbside/Alley Missed Pickup,missed curb trash wednesday.,4701 chalmers dr,37215,RED RIVER,3303,34,-86.81937123280352,36.08324760497022
232,28638,2017-11-17,Trash - Curbside/Alley Missed Pickup,customer has 2 trash carts and only one of them were emptied,1209 4th ave n,37208,WASTE IND,3208,19,-86.78730951777641,36.17614839999919
238,28823,2017-11-17,Trash - Curbside/Alley Missed Pickup,customer says missed trash pickup for the street,3402 shakerville ct,37013,RED RIVER,3502,33,-86.60098439513396,36.08242357385093
240,28844,2017-11-17,Trash - Curbside/Alley Missed Pickup,missed trash pickup,108 lexington ct,37215,RED RIVER,3304,34,-86.83314604630948,36.102029415858986
242,28848,2017-11-17,Trash - Curbside/Alley Missed Pickup,had trash at road last night but still missed pickup this morning,4049 moss rd.,37013,unknown,unknown,28,-86.66418906794634,36.05905462913719
243,28849,2017-11-17,Trash - Curbside/Alley Missed Pickup,had trash at road last night but still missed pickup this morning,4049 moss rd.,37013,unknown,unknown,28,-86.66418906794634,36.05905462913719
244,28850,2017-11-17,Trash - Curbside/Alley Missed Pickup,had trash at road last night but still missed pickup this morning,4049 moss rd.,37013,unknown,unknown,28,-86.66418906794634,36.05905462913719
245,28851,2017-11-17,Trash - Curbside/Alley Missed Pickup,had trash at road last night but still missed pickup this morning,4049 moss rd.,37013,unknown,unknown,28,-86.66418906794634,36.05905462913719
246,28859,2017-11-17,Trash - Curbside/Alley Missed Pickup,cust says trash was missed for the entire neighborhood,3210 agatha ct,37013,RED RIVER,3502,33,-86.60194181798555,36.082232598323
248,28863,2017-11-17,Trash - Curbside/Alley Missed Pickup,they skipped my house for trash pickup,605 welshcrest pl,37013,RED RIVER,4504,32,-86.64799464014366,36.06816260952184
250,28982,2017-11-20,Trash - Curbside/Alley Missed Pickup,"upset trash/out night before and still getting missed, friday's. curb {trash} complaint 2 weeks. wants cart emptied.",3401 country way rd,37013,RED RIVER,3503,33,-86.60203091058456,36.074749033272894
254,29028,2017-11-20,Trash - Curbside/Alley Missed Pickup,customer says missed trash pickup for the street,3402 shakerville ct,37013,RED RIVER,3502,33,-86.60098439513396,36.08242357385093
255,29029,2017-11-20,Trash - Backdoor,missed trash - back door tuesday 2 weeks in row.,552 judd dr,37218,RED RIVER,3203,1,-86.84730324756966,36.22306004138645
257,29035,2017-11-20,Trash - Curbside/Alley Missed Pickup,missed pick up,400 lorna dr,37214,RED RIVER,2503,15,-86.66798789377486,36.15813939423314
266,29170,2017-11-20,Trash - Backdoor,customer says trash pickup was missed again,936 cahal ave,37206,METRO,9507,5,-86.74660130297882,36.197119798054906
267,29204,2017-11-20,Trash - Backdoor,missed backdoor pickup,2951 ned shelton rd,37217,RED RIVER,2504,29,-86.63560951250643,36.10213299450344
276,29502,2017-11-21,Trash - Backdoor,missed,2601 vance ave,37208,METRO,9201,21,-86.82025588654099,36.18436033094866
277,29504,2017-11-21,Trash - Curbside/Alley Missed Pickup,missed pick up,316 rosebank ave,37206,RED RIVER,1202,6,-86.72373991541771,36.18699367098285
279,29510,2017-11-21,Trash - Curbside/Alley Missed Pickup,missed.,1835 hermosa st,37208,METRO,9208,21,-86.80691611812374,36.16367246921996
280,29522,2017-11-22,Trash - Curbside/Alley Missed Pickup,missed trash alley tuesday check for others. unit-b side.,1727 seifried st,37208,METRO,9205,21,-86.81419153660306,36.18203018011218
281,29524,2017-11-22,Trash - Curbside/Alley Missed Pickup,seems the whole street missed {trash} curb. she's elderly,2705 combs dr,37207,WASTE IND,2206,2,-86.7911535868433,36.21693543962745
282,29569,2017-11-22,Trash - Curbside/Alley Missed Pickup,"curb trash keeps getting missed, the only house there, across from the church, does not understand why trash is missed often. tuesday. out by 4:00 a.m. {complaint}",2218 buena vista pike,37218,RED RIVER,4204,2,-86.82693625191021,36.1979786489898
284,29603,2017-11-22,Trash - Curbside/Alley Missed Pickup,missed pick up,205 haynes park dr,37218,RED RIVER,3204,1,-86.83419760889329,36.21404421898063
287,29662,2017-11-22,Trash - Backdoor,"backdoor/trash miss for tuesday. on the list for backdoor.  sent waiver back. 
615-969-0641
henry dozier",4080 kings ln,37218,RED RIVER,3203,1,-86.85389258796647,36.21703785403928
289,29677,2017-11-22,Trash - Curbside/Alley Missed Pickup,customer says the trash is usually missed every other week,733 park cir,37205,METRO,9307,24,-86.82314681987881,36.14671281964671
292,29696,2017-11-24,Trash - Curbside/Alley Missed Pickup,they missed our street on wednesday 11/22.,2005 beechwood ave,37212,METRO,9308,18,-86.80245214707038,36.12673035021597
296,29899,2017-11-27,Trash - Curbside/Alley Missed Pickup,cust says the entire street was missed,3604 green garden ct,37013,RED RIVER,3503,33,-86.60002451865113,36.072085407478326
297,29905,2017-11-27,Trash - Curbside/Alley Missed Pickup,missed.,2549 pennington bend rd,37214,RED RIVER,1501,15,-86.69885945296504,36.233257205287984
299,29920,2017-11-27,Trash - Backdoor,missed backdoor trash pickup.  unit-b,1251 1st ave s b,37210,WASTE IND,4409,17,-86.76163022724938,36.1432469357973
302,29951,2017-11-27,Trash - Curbside/Alley Missed Pickup,"trash/miss for saturday's pickup, alley {check for others} missed.",457 humphreys st b,37203,WASTE IND,2408,17,-86.76870697491647,36.14183695456301
305,29983,2017-11-27,Trash - Curbside/Alley Missed Pickup,missed.,1584 bell rd,37211,RED RIVER,4404,31,-86.69772980957389,36.04404333219348
308,30057,2017-11-27,Trash - Curbside/Alley Missed Pickup,"missed pick up - pick up is on 9th ave s side of home
no alley behind home - please review traci & map",2315 vaulx ln,37204,METRO,9404,17,-86.78300840664576,36.12579220661227
320,30453,2017-11-28,Trash - Curbside/Alley Missed Pickup,missed.,1821 ed temple blvd,37208,METRO,9201,21,-86.8248265127902,36.18256776534802
326,30544,2017-11-29,Trash - Curbside/Alley Missed Pickup,missed pick up,162 antioch pike,37211,RED RIVER,4304,16,-86.72898094420633,36.101082089003256
331,30593,2017-11-29,Trash - Backdoor,missed- backdoor,30 e thompson ln,37211,RED RIVER,4303,16,-86.72123452228375,36.113158771413794
336,30700,2017-11-29,Trash - Backdoor,missed backdoor pickup,1111 graybar ln b,37204,RED RIVER,4305,25,-86.79201547270337,36.108573517507104
337,30703,2017-11-29,Trash - Curbside/Alley Missed Pickup,missed.,3710 n natchez ct,37211,RED RIVER,4302,16,-86.73490282599275,36.09457175357439
340,30732,2017-11-30,Trash - Curbside/Alley Missed Pickup,trash not picked up curb/unit#301,7277 charlotte pike,37209,RED RIVER,1301,22,-86.91766771284082,36.119462471473774
341,30819,2017-11-30,Trash - Curbside/Alley Missed Pickup,backdoor/trash miss for wednesday.,163 wheeler ave,37211,RED RIVER,4304,16,-86.72436708481511,36.094624512368775
344,30823,2017-11-30,Trash - Curbside/Alley Missed Pickup,cust says missed pickup; cust says its appears the entire street was missed,4014 indiana ave,37209,RED RIVER,1309,21,-86.83535805297952,36.15731888472372
347,30871,2017-11-30,Trash - Curbside/Alley Missed Pickup,missed. does not have access to alley. curb side only,5411 california ave,37209,METRO,9302,20,-86.85421489352964,36.163930880151526
349,30882,2017-11-30,Trash - Backdoor,cust says missed pickup. has backdoor pickup,2833 georgia ave b,37209,METRO,9303,21,-86.82133780428482,36.15696958578493
351,30933,2017-11-30,Trash - Curbside/Alley Missed Pickup,2 carts are full  - others missed in area,1029 3rd ave s,37210,WASTE IND,4409,17,-86.7675433832199,36.1478094610922
360,31046,2017-12-01,Trash - Backdoor,paid backdoor- missed. cart under the tree in the front yard.,70 tusculum rd,37013,RED RIVER,4405,30,-86.679768344403,36.05278737269048
365,31095,2017-12-01,Trash - Curbside/Alley Missed Pickup,missed- entire street still has carts out.,4203 belmont blvd,37215,RED RIVER,3302,25,-86.80299286903175,36.1003064980793
366,31096,2017-12-01,Trash - Curbside/Alley Missed Pickup,"trash cans on our street were not collected on wednesday, november 29.",4203 belmont blvd,37215,RED RIVER,3302,25,-86.80299286903175,36.1003064980793
369,31127,2017-12-01,Trash - Curbside/Alley Missed Pickup,missed back door pick up,1421 jones ave,37207,METRO,9203,5,-86.75854427702177,36.19855073769202
384,31519,2017-12-04,Trash - Backdoor,cust needs a backdoor pickup,1635 chase st,37216,METRO,9502,7,-86.73395566966465,36.19837086404805
387,31548,2017-12-04,Trash - Curbside/Alley Missed Pickup,missed 2 carts full,15 hermitage ave,37210,WASTE IND,4507,19,-86.76976021505945,36.15684189014462
389,31684,2017-12-05,Trash - Backdoor,paid backdoor/trash missed for 3 weeks or more. thursday {wants cart emptied} correct this matter. paid backdoor missed,5820 nolensville pike,37211,RED RIVER,4403,27,-86.71256137476809,36.04304126429765
399,31786,2017-12-05,Trash - Curbside/Alley Missed Pickup,missed,1816 jo johnston ave,37203,METRO,9208,21,-86.80298770606484,36.16032964747676
402,31843,2017-12-06,Trash - Curbside/Alley Missed Pickup,missed- backdoor pickup,1816 knowles st,37208,METRO,9208,21,-86.80912637902291,36.17235326715265
404,31860,2017-12-06,Trash - Curbside/Alley Missed Pickup,missed pickup; 513 fisk st unit a,513 fisk st,37203,METRO,9208,19,-86.8006950283318,36.16033609045853
407,31909,2017-12-06,Trash - Curbside/Alley Missed Pickup,missed.,1917 church st,37203,METRO,9208,21,-86.80007840983063,36.1534746683985
409,31938,2017-12-06,Trash - Curbside/Alley Missed Pickup,missed pickup-this is an ongoing propblem,108 lexington ct,37215,RED RIVER,3304,34,-86.83314604630948,36.102029415858986
412,31998,2017-12-06,Trash - Curbside/Alley Missed Pickup,cust says missed pickup,207 24th ave n,37203,METRO,9208,21,-86.80760244137309,36.14910400684594
415,32034,2017-12-06,Trash - Curbside/Alley Missed Pickup,missed trash pickup,200 brook hollow rd,37205,RED RIVER,1304,23,-86.88336822319617,36.10103894842153
416,32037,2017-12-06,Trash - Curbside/Alley Missed Pickup,missed pickup for the entire street,4015 graybar ct,37215,RED RIVER,3305,25,-86.80740830400597,36.11217877790976
419,32049,2017-12-07,Trash - Curbside/Alley Missed Pickup,new home no alley access have cans and am registered for wed.  can rolled out in driveway.  no pick up twice now.  getting out of hand.  can is very very full need pick up.,2000 ashwood ave,37212,METRO,9308,18,-86.80082414186288,36.12919947534559
422,32116,2017-12-07,Trash - Curbside/Alley Missed Pickup,cust says trash missed,123 37th ave n,37209,WASTE IND,2308,24,-86.82921130420378,36.14212624334358
423,32130,2017-12-07,Trash - Curbside/Alley Missed Pickup,missed trash check for others also missed curb. 12 condos all may have been missed,101 westover park ct,37215,RED RIVER,3305S,25,-86.80970660899182,36.100392372130585
425,32171,2017-12-07,Trash - Backdoor,backdoor/trash miss tuesday. overflowing,1804 28th ave n,37208,METRO,9201,21,-86.82314756707864,36.181434246747735
426,32175,2017-12-07,Trash - Curbside/Alley Missed Pickup,curb/2 trash miss {wednesday} wants cart emptied today.,2404 crestmoor rd,37215,RED RIVER,3305,25,-86.81903598008152,36.10970193849428
429,32238,2017-12-07,Trash - Curbside/Alley Missed Pickup,missed pickup,5513 morrow rd,37209,RED RIVER,4201,20,-86.85643640371386,36.15881500152848
432,32266,2017-12-07,Trash - Curbside/Alley Missed Pickup,customer says the trash is usually missed every other week,733 park cir,37205,METRO,9307,24,-86.82314681987881,36.14671281964671
434,32271,2017-12-07,Trash - Curbside/Alley Missed Pickup,cust says missed pickup,3505 steffisburg dr,37211,RED RIVER,4403,4,-86.72127853537609,36.04154330264816
435,32286,2017-12-08,Trash - Curbside/Alley Missed Pickup,missed-trash... customer says trash has been missed several time in the last couple of weeks.,4014 indiana ave,37209,RED RIVER,1309,21,-86.83535805297952,36.15731888472372
437,32335,2017-12-08,Trash - Curbside/Alley Missed Pickup,missed-trash,70 tusculum rd,37013,RED RIVER,4405,30,-86.679768344403,36.05278737269048
440,32367,2017-12-08,Trash - Curbside/Alley Missed Pickup,"missed trash alley tuesday check for others. unit-b side.
caller watch them go to alley not picking up some carts. cart is out. {wants cart emptied.
previous ticket hub 31933 / pw 943535 said cart not out - resident very upset 
wants call 615-732-9249",1727 seifried st,37208,METRO,9205,21,-86.81419153660306,36.18203018011218
441,32403,2017-12-08,Trash - Curbside/Alley Missed Pickup,trash missed,524 harding pl,37211,RED RIVER,4302,26,-86.73531477251949,36.07735249282284
444,32450,2017-12-08,Trash - Backdoor,has been missed continuously since july.,632 harding pl,37211,RED RIVER,4302,26,-86.74454401766913,36.07860128447716
445,32457,2017-12-08,Trash - Backdoor,missed backdoor - bothered he has to call instead of the problem being fixed.,1251 1st ave s b,37210,WASTE IND,4409,17,-86.76163022724938,36.1432469357973
446,32481,2017-12-08,Trash - Curbside/Alley Missed Pickup,trash was missed for the street,3436 towne village rd,37013,RED RIVER,3503,33,-86.59960411817165,36.07495017588594
448,32487,2017-12-08,Trash - Curbside/Alley Missed Pickup,missed pickup,2774 smith springs rd,37217,RED RIVER,2505,29,-86.61464259191366,36.08932857440866
450,32543,2017-12-11,Trash - Curbside/Alley Missed Pickup,"trash/miss for 2 week in a row, alley wednesday. other neighbors as well. wants carts emptied.",213 38th ave n,37209,WASTE IND,2308,24,-86.83023536987052,36.143515464426194
453,32598,2017-12-11,Trash - Curbside/Alley Missed Pickup,trash was not picked up again,3006 goodwin dr,37217,RED RIVER,2505,29,-86.625013333989,36.08388216282152
457,32880,2017-12-12,Trash - Curbside/Alley Missed Pickup,cust says missed pickup,6600 ascot dr,37013,RED RIVER,3503,33,-86.58688115009704,36.07124301971507
464,33048,2017-12-12,Trash - Curbside/Alley Missed Pickup,missed.,207 greenbranch ct,37207,RED RIVER,2201,2,-86.76513009735153,36.22068504388588
475,33245,2017-12-13,Trash - Curbside/Alley Missed Pickup,2nd week in a row missed collection.,4100 hillsboro cir,37215,RED RIVER,3305,25,-86.81920334429161,36.10214902676548
478,33293,2017-12-13,Trash - Backdoor,backdoor/trash pickup was missed,101 jocelyn hills rd,37205,RED RIVER,1304,23,-86.89876653318458,36.10056256487605
479,33298,2017-12-13,Trash - Backdoor,"i have the ada backdoor tradh pick up, and i was missed today. the addy is 4113 lone oak road, unit e, nashville 37215. the unit is in the front. thank you. m. wagner",4113 lone oak rd e,37215,RED RIVER,3305,25,-86.80948843014245,36.1028071904927
481,33302,2017-12-13,Trash - Curbside/Alley Missed Pickup,i have 2 containers they picked up the less full one & left the full one. it is not really a complaint just wanted you to be aware,4111 media st,37209,WASTE IND,2306,24,-86.836153445906,36.14510088490909
482,33303,2017-12-13,Trash - Curbside/Alley Missed Pickup,i have 2 containers they picked up the less full one & left the full one. it is not really a complaint just wanted you to be aware,4111 media st,37209,WASTE IND,2306,24,-86.836153445906,36.14510088490909
483,33313,2017-12-14,Trash - Curbside/Alley Missed Pickup,curb address has been missed please pick up.,468 elysian fields rd,37211,RED RIVER,4302,26,-86.73472119732962,36.08444709726565
485,33349,2017-12-14,Trash - Curbside/Alley Missed Pickup,trash/curb miss for wednesday.,1406 harding pl,37215,RED RIVER,3303,25,-86.81098553529029,36.0903457625847
486,33360,2017-12-14,Trash - Curbside/Alley Missed Pickup,missed trash check for others curb. all 12 condos have been missed.,101 westover park ct,37215,RED RIVER,3305S,25,-86.80970660899182,36.10039237213058
494,33438,2017-12-14,Trash - Curbside/Alley Missed Pickup,missed. entire street was missed,701 cantrell ave,37215,RED RIVER,2303,24,-86.83227280515082,36.12179487118569
496,33447,2017-12-14,Trash - Backdoor,missed pickup,2833 georgia ave b,37209,METRO,9303,21,-86.82133780428482,36.15696958578493
500,33518,2017-12-14,Trash - Curbside/Alley Missed Pickup,missed pick up - everyone picked up around them,1509 ferguson ave,37212,METRO,9402,18,-86.7930642819018,36.11898551490785
507,33620,2017-12-15,Trash - Curbside/Alley Missed Pickup,missed others missed in area,2019 beech ave b,37204,METRO,9401,17,-86.78083777535817,36.13243430205707
509,33642,2017-12-15,Trash - Curbside/Alley Missed Pickup,cart is being missed once a month and need to get on route,5116 edmondson pike,37211,RED RIVER,3401,27,-86.7376447724506,36.06646182796697
510,33653,2017-12-15,Trash - Curbside/Alley Missed Pickup,missed trash,1412 harding pl,37215,RED RIVER,3303,25,-86.81164187975638,36.0904512332944
511,33662,2017-12-15,Trash - Curbside/Alley Missed Pickup,trash repeatedly not collected due to alley being blocked by adjacent construction crew.,15 hermitage ave,37210,WASTE IND,4507,19,-86.76976021505945,36.15684189014462
514,33671,2017-12-15,Trash - Backdoor,missed backdoor trash pickup.  unit-b,1251 1st ave s b,37210,WASTE IND,4409,17,-86.76163022724938,36.1432469357973
520,33761,2017-12-15,Trash - Backdoor,cust needs a backdoor pickup,1635 chase st,37216,METRO,9502,7,-86.73395566966465,36.19837086404805
521,33773,2017-12-15,Trash - Curbside/Alley Missed Pickup,missed.,4813 trappers rdg,37013,RED RIVER,4501,28,-86.66843267718768,36.07162570463101
522,33779,2017-12-15,Trash - Curbside/Alley Missed Pickup,missed pickup,5550 mt view rd,37013,RED RIVER,4504,32,-86.63529937019989,36.04195137955247
527,33878,2017-12-18,Trash - Curbside/Alley Missed Pickup,missed 6154802891,15 hermitage ave,37210,WASTE IND,4507,19,-86.76976021505945,36.15684189014462
541,34020,2017-12-18,Trash - Backdoor,"back door pick up 
said never gets picked up - said trash building up & overflowing for weeks",15482 old hickory blvd,37211,RED RIVER,4402,27,-86.73492159343964,36.0397035361965
543,34349,2017-12-20,Trash - Backdoor,cart still out,1121 greenland ave a,37216,RED RIVER,2203,7,-86.72321716168038,36.22214443963996
544,34365,2017-12-20,Trash - Backdoor,missed backdoor pick up for the past month.,1507 shackleford rd,37215,RED RIVER,3302,25,-86.80155052709502,36.10089906336058
547,34409,2017-12-20,Trash - Backdoor,"only emptied 1 of 2 cart
backdoor pick up",4429 enchanted cir,37218,RED RIVER,3203,1,-86.85920000000002,36.21854999999996
552,34519,2017-12-20,Trash - Backdoor,trash backdoor missed. check traci showing wavier termination 11/08/2017 & then new waiver 11/17/2017 and than waiver termination 11/29/2017. customer does not understand why it's been cancelled again. she sent everything under her name. call her back please.,502 georgetown dr,37205,RED RIVER,1305,23,-86.88211000000001,36.12011999999996
